,question,answer,error_type
0,"Ignatius owns 4 bicycles.  A friend of his owns different types of cycles, which have three times are many tires as Ignatius's bikes have. He has one unicycle, a tricycle, and the rest are bikes. How many bicycles does the friend own?","Ignatius has 8 tires because 2 x 4 = 8
His friend has 24 tires because 3 x 8 = 24
There are 20 bicycle wheels because 24-1-3 = 20
He has 10 bicycles because 20 / 2 = 10
 10",Missing / Wrong factual knowledge
1,"On her birthday, Avianna bought red candles and blue candles in the ratio of 5:3. If Avianna had 45 red candles on her birthday, how many blue candles did she have?","If the ratio of red candles to blue candles Avianna bought was 5:3, then the total ratio was 5+3 = 8.
If 5 represented 45 candles in the total ratio, then 8, the actual ratio, represents 8*45 = 360 divided by 5 is 360/5 = 72 candles.
If the total number of candles was 72, then the number of blue candles is 72 candles - 45 candles = 27 candles
 27",Calculation error easily solved by a calculator
2,"The base of a hill located beside a river is 300m above the seabed. If this depth is a quarter of the vertical distance between the riverbed and the peak of the hill, how high is the hill?","300m is a quarter of the distance from the riverbed to the hill's peak so (1/4)*distance from riverbed to peak = 300m
Multiplying both sides of the equation by 4 gives the distance from riverbed to peak = 300m*4 = 1200m
The height of the hill is the difference between the distance from the riverbed to the hill's peak and the distance from the riverbed to the hill's base which is 1200m-300m = 900m
 900",Missing / Wrong factual knowledge
3,Carl has been selling watermelons on the side of the road for $3 each. This evening he went home with $105 in profit and 18 watermelons. How many watermelons did he start out with this morning?,"Carl sells his watermelons for $3 each so today he sold $105 / $3 per watermelon = 35 watermelons.
He had 18 watermelons left over, so this morning he started with 18 + 35 = 53 watermelons.
 53",Misunderstanding of a question
4,"John's neighbor tells him to walk his dog for 1 hour each day for a total of $10. He does this for April, save for the 4 Sundays in April. He later spent $50 on books and gave his sister Kaylee the same amount. How much money did John have left?","April has 30 days, so if he didn't walk the dog on Sundays, he worked for a total of 30 days - 4 days = 26 days.
If each day he earned $10, he ends up with 26 days * $10/day = $260 .
After buying books and giving his sister $50, he ends up with $260 - $50 - $50 = $160
 160",Missing / Wrong factual knowledge
5,"Dakota gets hit by a bus and has to spend 3 days in the hospital. The hospital charges her $900/day for her bed, $250/hour for two specialists to look at her 15 minutes each, and $1800 for the ambulance ride. How much is Dakota's medical bill?","First find the total cost of the hospital bed by multiplying the cost per day by the number of days: $900/day * 3 days = $2700
Then figure out how many minutes total the two specialists looked at Dakota: 15 minutes/specialist * 2 specialists = 30 minutes
Then divide the number of minutes by the number of minutes per hour and multiply it by the specialists' hourly rate to find their total charge: 30 minutes / 60 minutes/hour * $250/hour = $125
Finally, add up the cost of the specialists, ambulance and bed to find Dakota's total bill: $2700 + $1800 + $125 = $4625
 4625",Misunderstanding of a question
6,"A group of researchers are studying a colony of penguins. Their results show that the size doubled in the first year they watched the colony, then tripled in the next year. This year, however, harsh conditions meant the colony only gained 129 penguins. The colony has 1077 penguins in it now. Each penguin eats one and a half fish every day. How many fish did the whole colony catch per day to eat at the beginning of the first year?","The colony had 1077 - 129 = 948 penguins in it at the beginning of this year.
At the beginning of the second year, the colony had 948 / 3 = 316 penguins in it.
At the beginning of the first year, it had 316 / 2 = 158 penguins in it.
Thus, at the beginning of the first year, the penguin colony was catching 158 * 1 1/2 = 237 fish per day.
 237",Extra quantity or Missing quantity
7,"For the gala luncheon planning committee, Margaret wants to serve chicken salad sandwiches using mini croissants.  She wants there to be enough food that each person on the committee can have 2 sandwiches each.  Her bakery offers 12 minis croissants for $8.00.  There are 24 people on the committee. How much will she spend on croissants?","There are 24 people on the committee and she wants 2 sandwiches per person so that's 24*2 = 48 sandwiches
She can buy the croissants by the dozen and she needs 48 croissants so she needs 48/12 = 4 dozen croissants
A dozen croissants cost $8.00 and she needs 4 dozens so that will costs 8*4 = $32.00
 32",Misunderstanding of a question
8,"Sam shared a sum of money between his three cousins Sandra, Amy and Ruth in the ratio 2:1:3 respectively. If Amy got $50, how much did Sandra get?","Going by the ratio, for every 1 part that Amy gets, Sandra will get 2 parts
Since Amy got $50, Sandra will get 2*$50 = $100
 100",Missing / Wrong factual knowledge
9,"Jina likes to collect mascots. She has 5 teddies, 3 times more bunnies, and a koala bear. Her mom decided to give her two additional teddies for every bunny she has. How many mascots Jina has in total?","In the beginning, Jina has 5 teddies * 3 bunnies/teddy = 15 bunnies.
So her mom decided to give her 15 bunnies * 2 teddies/bunny = 30 teddies.
So in total Jina has 5 teddies + 15 bunnies + 1 koala + 30 teddies = 51 mascots.
 51",Extra quantity or Missing quantity
10,"Sarah wants to start a cupcake business and was approved for a business loan.  The loan has 0% interest if she pays the entire amount back in 5 years, which she decides to do.  If she put $10,000 down as a down payment and her monthly payments are $600.00, how much was her loan for (including the down payment)?","To avoid interest she'll make payments for 5 years. There are 12 months in 1 year so that's 5*12 = 60 months
Each monthly payment is $600.00 and she'll pay that for 60 months for a total of 600*60 = $36,000
She also put $10,000 down as a down payment and her monthly payments came out to $36,000 so her loan was for 10000+36000 = $46,000
 46000",Extra quantity or Missing quantity
11,Mitchell has 30 pencils. He has 6 more pencils than Antonio. How many pencils does Mitchell and Antonio have together?,"Antonio has 30-6 = 24 pencils
Antonio and Mitchell have 24+30 = 54 pencils together.
 54",Misunderstanding of a question
12,"Cilia wants to buy a multi-level dumbbell system.  The first pair of dumbbells are 3 lb weights, the second pair is 5 lb weights and the third is 8 lb pounds.  How much does the entire system weigh?","The first pair of weights weighs 3 lb each so all total they weigh 2*3 = 6 lbs
The second pair of weights weigh 5 lbs each so they weigh 2*5 = 10 lbs
The third pair of weights weigh 8 lbs each so they weigh 2*8 = 16lbs
All total, the entire system of weights weigh 6+10+16 = 32 lbs
 32",Extra quantity or Missing quantity
13,"Tony has $87. He needs to buy some cheese, which costs $7 a pound and a pound of beef that costs $5 a pound. After buying the beef and his cheese, he has $61 left. How many pounds of cheese did he buy?","He spent $26 because 87 - 61 = 26
He spend $21 on cheese because 26 -5 = 21
He bought 3 pounds of cheese because 21 / 7 = 3
 3",Missing / Wrong factual knowledge
14,"The space station, Lupus-1, is an enormous spacecraft made up of three identical cylindrical structures that house the living quarters for the crew.   The three cylindrical structures are linked together by a series of tunnels that hold them together and allow the crew to move between cylinders.  Each cylindrical structure contains 12 bedrooms, 7 bathrooms, and several kitchens.  If the entire space station has 72 rooms, how many kitchens are there on the entire space station?","If there are 3 identical cylindrical structures, with a combined total of 72 rooms, then each individual cylindrical structure contains 72/3=24 rooms.
In each 24-room cylindrical structure, there are 24-12-7=5 kitchens.
Thus, the entire, three-cylinder space station contains a total of 3*5=15 kitchens.
 15",Calculation error easily solved by a calculator
15,"In five years, Rehana will be three times as old as Phoebe. If Rehana is currently 25 years old, and Jacob, Rehana's brother, is 3/5 of Phoebe's current age, how old is Jacob now?","If Rehana is currently 25 years old, she will be 25+5=30 in five years.
Rehana will be three times as old as Phoebe in five years, meaning Phoebe will be 30/3=10 years old in five years.
Currently, Phoebe is 10-5=5 years old.
3/5 of Phoebe's age now is 3/5*5=3 years, which is Jacob's age.
 3",Misunderstanding of a question
16,"Ken had fifty pencils, and he wanted to share some of them with his two friends, Manny and Nilo. Ken gave ten pencils to Manny and ten more pencils to Nilo than he gave to Manny. He kept the rest of the pencils. How many pencils did Ken keep?","Nilo received 10 + 10 = 20.
Thus, Ken gave a total of 10 + 20 = 30.
Therefore, Ken kept 50 - 30 = 20 pencils.
 20",Misunderstanding of a question
